Numero_expedient,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Codi_carrer,Nom_carrer,Num_postal ,Descripcio_dia_setmana,NK_Any,Mes_any,Nom_mes,Dia_mes,Hora_dia,Descripcio_torn,Descripcio_causa_vianant,Numero_morts,Numero_lesionats_lleus,Numero_lesionats_greus,Numero_victimes,Numero_vehicles_implicats,Coordenada_UTM_Y_ED50,Coordenada_UTM_X_ED50,Longitud_WGS84,Latitud_WGS84
2025S003928,3,Sants-Montjuïc,14,la Font de la Guatlla,145604,Gimbernat,,Divendres,2025,7,Juliol,4,22,Nit,,,1,,1,2,428885.698,4580554.246,2.14850888,41.37151593
2025S003929,10,Sant Martí,67,la Vila Olímpica del Poblenou,367504,Doctor Trueta,60,Dissabte,2025,7,Juliol,5,22,Nit,,,,,,2,432845.012,4582852.443,2.19559391,41.39255554
2025S003930,2,Eixample,8,l'Antiga Esquerra de l'Eixample,023403,Aribau,,Divendres,2025,7,Juliol,4,23,Nit,,,3,,3,2,429830.925,4582396.046,2.15959712,41.38818746
2025S003931,8,Nou Barris,54,Torre Baró,201807,Martorelles,39,Dissabte,2025,7,Juliol,5,0,Nit,,,,,,1,431939.794,4590092.417,2.18395167,41.45768747
2025S003932,2,Eixample,6,la Sagrada Família,297001,Sant Antoni Maria Claret,,Dissabte,2025,7,Juliol,5,1,Nit,,,2,,2,2,430993.997,4584846.260,2.17322757,41.41035644
2025S003933,3,Sants-Montjuïc,18,Sants,040300,Berlín,58-62,Diumenge,2025,7,Juliol,6,3,Nit,,,,,,2,428250.261,4581950.941,2.14074587,41.38403904
2025S003934,9,Sant Andreu,59,el Bon Pastor,701266,Litoral (Llobregat),K15,Diumenge,2025,7,Juliol,6,4,Nit,,,,,,1,433903.245,4588186.572,2.20766771,41.44068636
2025S003935,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,028000,Augusta,,Dimecres,2025,7,Juliol,2,13,Matí,,,1,,1,2,428194.382,4583484.372,2.13989573,41.39784509
2025S003936,2,Eixample,8,l'Antiga Esquerra de l'Eixample,018505,Aragó,,Dimecres,2025,7,Juliol,2,11,Matí,,,1,,1,1,429830.925,4582396.046,2.15959712,41.38818746
2025S003937,9,Sant Andreu,61,la Sagrera,209900,Meridiana,251,Dijous,2025,7,Juliol,3,8,Matí,,,2,,2,2,432111.793,4586023.474,2.18646836,41.42105449
2025S003938,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,028000,Augusta,120,Dimecres,2025,7,Juliol,2,11,Matí,,,1,,1,2,428859.876,4583863.231,2.14781136,41.40131652
2025S003939,8,Nou Barris,45,Porta,209900,Meridiana,405,Dimecres,2025,7,Juliol,2,8,Matí,,,2,,2,2,431791.134,4587315.351,2.18248563,41.43266282
2025S003940,3,Sants-Montjuïc,18,Sants,187207,Madrid,,Dimecres,2025,7,Juliol,2,13,Matí,,,1,,1,2,427645.020,4581636.846,2.13354547,41.38115587
2025S003941,2,Eixample,10,Sant Antoni,198804,Paral·lel,126,Dijous,2025,7,Juliol,3,9,Matí,Desobeir el senyal del semàfor,,1,,1,1,430001.423,4580950.109,2.16180332,41.37517922
2025S003942,3,Sants-Montjuïc,12,la Marina del Prat Vermell,000180,A Zona Franca,117,Diumenge,2025,7,Juliol,6,8,Matí,,,,,,1,428687.544,4577781.995,2.14646571,41.34652959
2025S003943,7,Horta-Guinardó,38,la Teixonera,318305,Santa Rosalia,114,Dijous,2025,7,Juliol,3,6,Matí,,,,,,1,429077.576,4586422.323,2.15011533,41.42438451
2025S003944,2,Eixample,5,el Fort Pienc,169409,Corts Catalanes,733-735,Dissabte,2025,7,Juliol,5,21,Tarda,Altres,,1,,1,1,431561.788,4583544.477,2.18016772,41.39868026
2025S003945,5,Sarrià-Sant Gervasi,24,les Tres Torres,143904,General Mitre,2-8,Dissabte,2025,7,Juliol,5,15,Tarda,,,1,,1,2,427453.795,4582944.144,2.13110214,41.39291297
2025S003946,1,Ciutat Vella,3,la Barceloneta,224904,Joan Borbó Comte Barcelona,2,Dissabte,2025,7,Juliol,5,19,Tarda,,,,,,1,432117.771,4581633.499,2.18703243,41.38151575
