numero_expedient,codi_districte,nom_districte,nom_barri,nom_carrer,nk_any,mes_any,nom_mes,dia_mes,hora_dia,descripcio_dia_setmana,descripcio_torn,descripcio_causa_vianant,numero_morts,numero_lesionats_lleus,numero_lesionats_greus,numero_victimes,numero_vehicles_implicats,longitud,latitud,fichero_origen,es_causa_vianant,fecha,dia_semana,fin_de_semana,franja_horaria,total_lesionados,gravedad,accidente_con_victimas
2024S005355,1,Ciutat Vella,el Barri Gòtic,Colom,2024,9,Setembre,20,10,Divendres,Matí,No es causa del vianant,0,1,0,1,2,2.18094263,41.38029852,2024_accidents_gu_bcn.csv,FALSE,2024-09-20,viernes,Laborable,Manana (06-12h),1,Leve,TRUE
2024S005356,7,Horta-Guinardó,Horta,B-20 (Besòs),2024,9,Setembre,20,13,Divendres,Matí,No es causa del vianant,0,3,0,3,2,2.15879398,41.43964784,2024_accidents_gu_bcn.csv,FALSE,2024-09-20,viernes,Laborable,Tarde (12-18h),3,Leve,TRUE
2024S005357,7,Horta-Guinardó,Sant Genís dels Agudells,Vista-rica,2024,9,Setembre,20,18,Divendres,Tarda,No es causa del vianant,0,1,0,1,2,2.12082297,41.42342487,2024_accidents_gu_bcn.csv,FALSE,2024-09-20,viernes,Laborable,Noche (18-24h),1,Leve,TRUE
2024S005358,2,Eixample,Sant Antoni,Corts Catalanes,2024,9,Setembre,20,16,Divendres,Tarda,No es causa del vianant,0,1,0,1,3,2.15848732,41.38173747,2024_accidents_gu_bcn.csv,FALSE,2024-09-20,viernes,Laborable,Tarde (12-18h),1,Leve,TRUE
2024S005359,2,Eixample,la Dreta de l'Eixample,Corts Catalanes,2024,9,Setembre,20,17,Divendres,Tarda,No es causa del vianant,0,2,0,2,2,2.16702361,41.38848379,2024_accidents_gu_bcn.csv,FALSE,2024-09-20,viernes,Laborable,Tarde (12-18h),2,Leve,TRUE
2024S005360,3,Sants-Montjuïc,Sants - Badal,Sants,2024,9,Setembre,21,3,Dissabte,Nit,No es causa del vianant,0,1,0,1,2,2.12675636,41.37549426,2024_accidents_gu_bcn.csv,FALSE,2024-09-21,sábado,Fin de semana,Madrugada (00-06h),1,Leve,TRUE
2024S005361,9,Sant Andreu,el Bon Pastor,Sas,2024,9,Setembre,20,10,Divendres,Matí,No es causa del vianant,0,1,0,1,1,2.20431087,41.43800074,2024_accidents_gu_bcn.csv,FALSE,2024-09-20,viernes,Laborable,Manana (06-12h),1,Leve,TRUE
2024S005362,4,Les Corts,la Maternitat i Sant Ramon,Carles III,2024,9,Setembre,20,11,Divendres,Matí,No es causa del vianant,0,2,0,2,1,2.12686856,41.38584331,2024_accidents_gu_bcn.csv,FALSE,2024-09-20,viernes,Laborable,Manana (06-12h),2,Leve,TRUE
2024S005363,8,Nou Barris,la Trinitat Nova,Aiguablava,2024,9,Setembre,21,7,Dissabte,Matí,No es causa del vianant,0,0,0,0,1,2.18562671,41.45084081,2024_accidents_gu_bcn.csv,FALSE,2024-09-21,sábado,Fin de semana,Manana (06-12h),0,Leve,FALSE
2024S005364,8,Nou Barris,la Trinitat Nova,Aiguablava,2024,9,Setembre,21,7,Dissabte,Matí,No es causa del vianant,0,1,0,1,5,2.18573104,41.45055467,2024_accidents_gu_bcn.csv,FALSE,2024-09-21,sábado,Fin de semana,Manana (06-12h),1,Leve,TRUE
